谱信息：
开始时间,20:12:59
测量时间,90.308
死时间,1.073
总计数,268444
最大值,9537
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
0,0,0,0,0,0
1,6,1,397,1,238
2,8,2,447,2,318
3,13,3,516,3,355
4,7,4,554,4,362
5,9,5,558,5,338
6,7,6,555,6,382
7,17,7,538,7,373
8,9,8,531,8,360
9,8,9,450,9,345
10,8,10,417,10,364
11,10,11,473,11,345
12,12,12,406,12,299
13,10,13,393,13,332
14,15,14,344,14,284
15,14,15,350,15,288
16,4,16,303,16,261
17,12,17,268,17,245
18,14,18,234,18,210
19,10,19,238,19,217
20,11,20,206,20,185
21,11,21,182,21,190
22,1,22,151,22,180
23,9,23,168,23,153
24,7,24,133,24,144
25,9,25,122,25,130
26,9,26,118,26,131
27,5,27,113,27,120
28,7,28,83,28,90
29,6,29,73,29,79
30,11,30,87,30,77
31,5,31,67,31,85
32,2,32,46,32,72
33,10,33,54,33,60
34,11,34,38,34,62
35,13,35,43,35,59
36,8,36,41,36,35
37,6,37,42,37,54
38,8,38,34,38,30
39,11,39,44,39,37
40,8,40,27,40,28
41,8,41,31,41,43
42,14,42,32,42,19
43,9,43,43,43,28
44,9,44,37,44,21
45,3,45,25,45,29
46,6,46,38,46,26
47,9,47,40,47,24
48,11,48,41,48,27
49,12,49,36,49,29
50,5,50,38,50,25
51,5,51,30,51,23
52,12,52,48,52,34
53,5,53,44,53,24
54,10,54,34,54,20
55,6,55,44,55,28
56,8,56,48,56,14
57,11,57,39,57,23
58,6,58,52,58,24
59,10,59,46,59,22
60,10,60,77,60,23
61,12,61,62,61,30
62,6,62,87,62,27
63,16,63,115,63,27
64,14,64,129,64,32
65,13,65,193,65,25
66,12,66,312,66,31
67,9,67,392,67,18
68,9,68,493,68,29
69,12,69,648,69,32
70,7,70,742,70,28
71,13,71,878,71,37
72,9,72,977,72,45
73,10,73,1084,73,36
74,9,74,1189,74,47
75,7,75,1337,75,75
76,11,76,1361,76,87
77,7,77,1387,77,107
78,14,78,1442,78,120
79,10,79,1486,79,182
80,10,80,1491,80,238
81,11,81,1528,81,300
82,5,82,1561,82,363
83,9,83,1439,83,439
84,8,84,1419,84,506
85,10,85,1446,85,537
86,8,86,1494,86,657
87,6,87,1498,87,699
88,6,88,1491,88,748
89,7,89,1554,89,823
90,4,90,1557,90,864
91,7,91,1481,91,956
92,11,92,1483,92,946
93,4,93,1516,93,1001
94,5,94,1597,94,978
95,7,95,1405,95,962
96,7,96,1418,96,999
97,6,97,1543,97,1019
98,6,98,1529,98,1054
99,2,99,1527,99,1034
100,4,100,1477,100,1013
101,4,101,1447,101,1075
102,7,102,1479,102,971
103,5,103,1532,103,971
104,5,104,1561,104,938
105,5,105,1514,105,1027
106,7,106,1485,106,979
107,8,107,1527,107,971
108,7,108,1525,108,941
109,6,109,1490,109,999
110,7,110,1525,110,1020
111,12,111,1529,111,989
112,7,112,1534,112,1029
113,10,113,1470,113,994
114,4,114,1408,114,985
115,8,115,1556,115,1022
116,7,116,1564,116,1021
117,7,117,1481,117,1052
